지점,어린이1806,어린이1807,어린이1808,어린이1809,어린이1906,어린이1907,어린이1908,어린이1909,어린이2006,어린이2007,어린이2008,어린이2009,어린이평균
미아동,24.14583333,28,28.74193548,23.46666667,24.91666667,27.49462366,28.26344086,22.46666667,29.10416667,29.44086022,31.90322581,27.82222222,27.7826087
반포1동,24.25,28.22580645,29.12903226,23.75555556,23.89583333,27.06451613,28.29462366,22.68888889,28.6875,29.40860215,31.84946237,27.66666667,27.74384058
반포2동,24.25,28.22580645,29.12903226,23.75555556,23.89583333,27.06451613,28.29462366,22.68888889,28.6875,29.40860215,31.84946237,27.66666667,27.74384058
반포3동,24.25,28.22580645,29.12903226,23.75555556,23.89583333,27.06451613,28.29462366,22.68888889,28.6875,29.40860215,31.84946237,27.66666667,27.74384058
반포4동,24.25,28.22580645,29.12903226,23.75555556,23.89583333,27.06451613,28.29462366,22.68888889,28.6875,29.40860215,31.84946237,27.66666667,27.74384058
반포본동,24.25,28.22580645,29.12903226,23.75555556,23.89583333,27.06451613,28.29462366,22.68888889,28.6875,29.40860215,31.84946237,27.66666667,27.74384058
발산1동,24.45833333,28.50537634,29.10752688,24.26666667,23.83333333,26.79569892,28.32258065,23.22222222,28.41666667,29.06451613,31.75268817,27.66666667,27.74622584
방배1동,24.25,28.22580645,29.08602151,23.75555556,23.89583333,27.06451613,28.29032258,22.68888889,28.6875,29.40860215,31.84946237,27.66666667,27.73852657
방배2동,24.25,28.22580645,29.08602151,23.75555556,23.89583333,27.06451613,28.29032258,22.68888889,28.6875,29.40860215,31.84946237,27.66666667,27.73852657
방배3동,24.25,28.22580645,29.08602151,23.75555556,23.89583333,27.06451613,28.29032258,22.68888889,28.6875,29.40860215,31.84946237,27.66666667,27.73852657
방배4동,24.25,28.22580645,29.08602151,23.75555556,23.89583333,27.06451613,28.29032258,22.68888889,28.6875,29.40860215,31.84946237,27.66666667,27.73852657
방배본동,24.25,28.22580645,29.08602151,23.75555556,23.89583333,27.06451613,28.29032258,22.68888889,28.6875,29.40860215,31.84946237,27.66666667,27.73852657
방이1동,24.8125,28.58064516,28.50537634,24.22222222,24.31944444,26.94265233,28.05017921,22.99259259,28.75694445,29.12544803,31.67383513,27.51111111,27.71175523
방이2동,24.8125,28.58064516,28.50537634,24.22222222,24.31944444,26.94265233,28.05017921,22.99259259,28.75694445,29.12544803,31.67383513,27.51111111,27.71175523
방학1동,24.125,27.91397849,29.46236559,23.33333333,24.5,27.21505376,28.19713262,22.28888889,28.85416667,29.11827957,31.59139785,27.53333333,27.67378724
방학2동,24.125,27.91397849,29.46236559,23.33333333,24.5,27.21505376,28.19713262,22.28888889,28.85416667,29.11827957,31.59139785,27.53333333,27.67378724
방학3동,24.125,27.91397849,29.46236559,23.33333333,24.5,27.21505376,28.19713262,22.28888889,28.85416667,29.11827957,31.59139785,27.53333333,27.67378724
방화1동,24.41666667,28.59139785,29.46236559,24.4,23.9375,26.83870968,28.22580645,23.44444444,28.1875,29.11827957,31.70967742,27.66666667,27.80117754
방화2동,24.41666667,28.59139785,29.46236559,24.4,23.9375,26.83870968,28.22580645,23.44444444,28.1875,29.11827957,31.70967742,27.66666667,27.80117754
방화3동,24.41666667,28.59139785,29.46236559,24.4,23.9375,26.83870968,28.22580645,23.44444444,28.1875,29.11827957,31.70967742,27.66666667,27.80117754
번1동,24.14583333,28,28.80645161,23.46666667,24.91666667,27.49462366,28.49462366,22.46666667,29.10416667,29.44086022,31.90322581,27.82222222,27.81582126
번2동,24.14583333,28,28.80645161,23.46666667,24.91666667,27.49462366,28.49462366,22.46666667,29.10416667,29.44086022,31.90322581,27.82222222,27.81582126
번3동,24.14583333,28,28.80645161,23.46666667,24.91666667,27.49462366,28.49462366,22.46666667,29.10416667,29.44086022,31.90322581,27.82222222,27.81582126
보광동,24.22916667,28.1827957,28.70967742,23.6,24.125,26.87096774,28.13978495,22.53333333,28.60416667,29.07526882,31.7311828,27.48888889,27.58227657
보라매동,24.25,28.24731183,28.44086022,23.84444444,24.15104167,26.97043011,28.1827957,22.74722223,28.60416667,29.39784946,32.02150538,27.91111111,27.69457654
보문동,24.27083333,28.15053763,28.46236559,23.46666667,24.5,27.08602151,27.89247312,22.51111111,28.58333333,29,31.48387097,27.2,27.50837862
부암동,24.35416667,27.8172043,28.46236559,23.26666667,23.83333333,26.5483871,27.89247312,22.26666667,28.45833333,29.03225806,31.37634409,27.31111111,27.34548611
북가좌1동,23.95833333,27.86021505,28.61290323,23.28888889,24.10416667,26.72043011,28.12365591,22.24444444,28.47916667,28.90322581,31.44086022,27.26666667,27.39719203
북가좌2동,23.95833333,27.86021505,28.61290323,23.28888889,24.10416667,26.72043011,28.12365591,22.24444444,28.47916667,28.90322581,31.44086022,27.26666667,27.39719203
북아현동,24.3125,28.31182796,28.34408602,24,24.0625,26.84946237,28.11827957,22.95555556,28.75,29.27956989,31.87096774,27.73333333,27.65655193
불광1동,23.85416667,27.78494624,28.74193548,23.13333333,24.4375,26.93548387,28.2311828,22.17777778,28.58333333,29.17204301,31.52688172,27.33333333,27.48897947
불광2동,23.85416667,27.78494624,28.74193548,23.13333333,24.4375,26.93548387,28.2311828,22.17777778,28.58333333,29.17204301,31.52688172,27.33333333,27.48897947
사근동,24.27083333,28.15053763,28.74193548,23.46666667,24.5,27.08602151,28.32258065,22.51111111,28.58333333,29,31.48387097,27.2,27.58808877
사당1동,24.25,28.22580645,28.58781362,23.75555556,23.89583333,27.06451613,28.23225806,22.68888889,28.6875,29.40860215,31.84946237,27.66666667,27.6760467
사당2동,24.25,28.22580645,28.58781362,23.75555556,23.89583333,27.06451613,28.23225806,22.68888889,28.6875,29.40860215,31.84946237,27.66666667,27.6760467
사당3동,24.25,28.22580645,28.58781362,23.75555556,23.89583333,27.06451613,28.23225806,22.68888889,28.6875,29.40860215,31.84946237,27.66666667,27.6760467
사당4동,24.25,28.22580645,28.58781362,23.75555556,23.89583333,27.06451613,28.23225806,22.68888889,28.6875,29.40860215,31.84946237,27.66666667,27.6760467
사당5동,24.25,28.22580645,28.58781362,23.75555556,23.89583333,27.06451613,28.23225806,22.68888889,28.6875,29.40860215,31.84946237,27.66666667,27.6760467
사직동,24.35416667,27.8172043,28.44086022,23.26666667,23.83333333,26.5483871,27.5483871,22.26666667,28.45833333,29.03225806,31.37634409,27.31111111,27.30442331
삼각산동,24.14583333,28,28.74193548,23.46666667,24.91666667,27.49462366,28.26344086,22.46666667,29.10416667,29.44086022,31.90322581,27.82222222,27.7826087
삼선동,24.35416667,27.8172043,28.96774194,23.26666667,23.83333333,26.5483871,28.68817204,22.26666667,28.45833333,29.03225806,31.37634409,27.31111111,27.49162138
삼성1동,24.63888889,28.48387097,28.78853046,23.94814815,24.39583333,27.25806452,28.4874552,22.90370371,28.8125,29.38351255,32.00716846,27.79259259,27.87696256
삼성2동,24.63888889,28.48387097,28.78853046,23.94814815,24.39583333,27.25806452,28.4874552,22.90370371,28.8125,29.38351255,32.00716846,27.79259259,27.87696256
삼성동,24.63888889,28.48387097,28.78853046,23.94814815,24.39583333,27.25806452,28.4874552,22.90370371,28.8125,29.38351255,32.00716846,27.79259259,27.87696256
삼양동,24.14583333,28,28.74193548,23.46666667,24.91666667,27.49462366,28.26344086,22.46666667,29.10416667,29.44086022,31.90322581,27.82222222,27.7826087
삼전동,24.83333333,28.56989247,28.50537634,24.13333333,24.64583333,27.31182796,28.22580645,23.11111111,28.6875,29.03225806,31.67741935,27.44444444,27.77475845
