사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
144029,2013097,1135010300,11350001,서울특별시 노원구1,서울특별시 노원구 공릉동(공릉역 부근),3,4,0,1,3,0,127.0751945,37.6267563,"{""type"":""Polygon"",""coordinates"":[[[127.0767965,37.6280305],[127.0764532,37.6282546],[127.0760615,37.6284211],[127.0756365,37.6285237],[127.0751945,37.6285583],[127.0747525,37.6285237],[127.0743274,37.6284211],[127.0739357,37.6282546],[127.0735924,37.6280305],[127.0733106,37.6277574],[127.0731013,37.6274459],[127.0729724,37.6271078],[127.0729288,37.6267563],[127.0729724,37.6264047],[127.0731013,37.6260667],[127.0733107,37.6257552],[127.0735925,37.6254821],[127.0739358,37.625258],[127.0743275,37.6250915],[127.0747525,37.624989],[127.0751945,37.6249543],[127.0756365,37.624989],[127.0760615,37.6250915],[127.0764532,37.625258],[127.0767965,37.6254821],[127.0770782,37.6257552],[127.0772876,37.6260667],[127.0774165,37.6264047],[127.0774601,37.6267563],[127.0774166,37.6271078],[127.0772877,37.6274459],[127.0770783,37.6277574],[127.0767965,37.6280305]]]}"
144030,2013097,1138010200,11380001,서울특별시 은평구1,서울특별시 은평구 녹번동(서운빌딩 부근),3,3,0,1,1,1,126.9270893,37.60272758,"{""type"":""Polygon"",""coordinates"":[[[126.9286908,37.6040018],[126.9283476,37.6042259],[126.927956,37.6043924],[126.9275311,37.6044949],[126.9270893,37.6045296],[126.9266474,37.6044949],[126.9262225,37.6043924],[126.9258309,37.6042259],[126.9254877,37.6040018],[126.9252061,37.6037287],[126.9249968,37.6034172],[126.9248679,37.6030791],[126.9248244,37.6027276],[126.9248679,37.602376],[126.9249968,37.602038],[126.9252061,37.6017264],[126.9254878,37.6014534],[126.925831,37.6012293],[126.9262226,37.6010628],[126.9266474,37.6009602],[126.9270893,37.6009256],[126.9275311,37.6009602],[126.927956,37.6010628],[126.9283476,37.6012293],[126.9286908,37.6014534],[126.9289724,37.6017264],[126.9291817,37.602038],[126.9293106,37.602376],[126.9293542,37.6027276],[126.9293107,37.6030791],[126.9291818,37.6034172],[126.9289725,37.6037287],[126.9286908,37.6040018]]]}"
142085,2013097,1144010500,11440001,서울특별시 마포구1,서울특별시 마포구 용강동(신석초등교앞_대흥로_진입 부근),3,3,0,1,1,1,126.9375911,37.54453203,"{""type"":""Polygon"",""coordinates"":[[[126.9391914,37.5458062],[126.9388485,37.5460303],[126.9384572,37.5461969],[126.9380326,37.5462994],[126.9375911,37.546334],[126.9371496,37.5462994],[126.936725,37.5461969],[126.9363338,37.5460303],[126.9359908,37.5458062],[126.9357094,37.5455332],[126.9355002,37.5452216],[126.9353715,37.5448836],[126.935328,37.544532],[126.9353715,37.5441805],[126.9355003,37.5438424],[126.9357094,37.5435309],[126.9359909,37.5432578],[126.9363338,37.5430337],[126.9367251,37.5428672],[126.9371496,37.5427647],[126.9375911,37.54273],[126.9380326,37.5427647],[126.9384572,37.5428672],[126.9388484,37.5430337],[126.9391914,37.5432578],[126.9394728,37.5435309],[126.939682,37.5438424],[126.9398108,37.5441805],[126.9398543,37.544532],[126.9398108,37.5448836],[126.939682,37.5452216],[126.9394729,37.5455332],[126.9391914,37.5458062]]]}"
140169,2013097,1144012300,11440002,서울특별시 마포구2,서울특별시 마포구 망원동(동교초교 부근),4,4,0,2,2,0,126.9030265,37.55749038,"{""type"":""Polygon"",""coordinates"":[[[126.9046271,37.5587646],[126.904284,37.5589887],[126.9038927,37.5591552],[126.9034681,37.5592577],[126.9030265,37.5592924],[126.9025849,37.5592577],[126.9021602,37.5591552],[126.9017689,37.5589887],[126.9014259,37.5587646],[126.9011444,37.5584915],[126.9009352,37.55818],[126.9008064,37.5578419],[126.9007629,37.5574904],[126.9008064,37.5571388],[126.9009353,37.5568008],[126.9011444,37.5564892],[126.9014259,37.5562162],[126.9017689,37.5559921],[126.9021603,37.5558255],[126.9025849,37.555723],[126.9030265,37.5556884],[126.9034681,37.555723],[126.9038927,37.5558255],[126.904284,37.5559921],[126.904627,37.5562162],[126.9049085,37.5564892],[126.9051177,37.5568008],[126.9052465,37.5571388],[126.90529,37.5574904],[126.9052465,37.5578419],[126.9051177,37.55818],[126.9049086,37.5584915],[126.9046271,37.5587646]]]}"
142087,2013097,1147010200,11470001,서울특별시 양천구1,서울특별시 양천구 목동(국민건강보험공단양천지사 부근),3,3,0,0,3,0,126.8774899,37.53582399,"{""type"":""Polygon"",""coordinates"":[[[126.87909,37.5370982],[126.8787471,37.5373223],[126.8783559,37.5374888],[126.8779313,37.5375914],[126.8774899,37.537626],[126.8770484,37.5375914],[126.8766239,37.5374888],[126.8762327,37.5373223],[126.8758897,37.5370982],[126.8756083,37.5368251],[126.8753992,37.5365136],[126.8752705,37.5361755],[126.875227,37.535824],[126.8752705,37.5354724],[126.8753993,37.5351344],[126.8756084,37.5348228],[126.8758898,37.5345498],[126.8762327,37.5343257],[126.8766239,37.5341592],[126.8770484,37.5340566],[126.8774899,37.534022],[126.8779313,37.5340566],[126.8783558,37.5341592],[126.878747,37.5343257],[126.8790899,37.5345498],[126.8793714,37.5348228],[126.8795805,37.5351344],[126.8797093,37.5354724],[126.8797527,37.535824],[126.8797093,37.5361755],[126.8795805,37.5365136],[126.8793714,37.5368251],[126.87909,37.5370982]]]}"
144031,2013097,1147010200,11470002,서울특별시 양천구2,서울특별시 양천구 목동(강서고등학교 부근),4,4,0,0,3,1,126.8687405,37.53646723,"{""type"":""Polygon"",""coordinates"":[[[126.8703406,37.5377414],[126.8699977,37.5379655],[126.8696064,37.5381321],[126.8691819,37.5382346],[126.8687405,37.5382692],[126.868299,37.5382346],[126.8678745,37.5381321],[126.8674832,37.5379655],[126.8671403,37.5377414],[126.8668589,37.5374684],[126.8666498,37.5371568],[126.866521,37.5368188],[126.8664776,37.5364672],[126.8665211,37.5361157],[126.8666498,37.5357776],[126.866859,37.5354661],[126.8671404,37.535193],[126.8674833,37.5349689],[126.8678745,37.5348024],[126.868299,37.5346999],[126.8687405,37.5346652],[126.8691819,37.5346999],[126.8696064,37.5348024],[126.8699976,37.5349689],[126.8703405,37.535193],[126.870622,37.5354661],[126.8708311,37.5357776],[126.8709599,37.5361157],[126.8710034,37.5364672],[126.8709599,37.5368188],[126.8708311,37.5371568],[126.870622,37.5374684],[126.8703406,37.5377414]]]}"
142089,2013097,1147010300,11470003,서울특별시 양천구3,서울특별시 양천구 신월동(신길제1동하나은행 부근),4,4,0,1,3,0,126.8373105,37.53051928,"{""type"":""Polygon"",""coordinates"":[[[126.8389105,37.5317935],[126.8385676,37.5320176],[126.8381764,37.5321841],[126.8377519,37.5322867],[126.8373105,37.5323213],[126.836869,37.5322867],[126.8364446,37.5321841],[126.8360534,37.5320176],[126.8357105,37.5317935],[126.8354291,37.5315204],[126.83522,37.5312089],[126.8350912,37.5308708],[126.8350478,37.5305193],[126.8350913,37.5301677],[126.83522,37.5298297],[126.8354291,37.5295181],[126.8357105,37.5292451],[126.8360534,37.529021],[126.8364446,37.5288544],[126.8368691,37.5287519],[126.8373105,37.5287173],[126.8377519,37.5287519],[126.8381764,37.5288544],[126.8385676,37.529021],[126.8389104,37.5292451],[126.8391918,37.5295181],[126.8394009,37.5298297],[126.8395297,37.5301677],[126.8395732,37.5305193],[126.8395297,37.5308708],[126.839401,37.5312089],[126.8391919,37.5315204],[126.8389105,37.5317935]]]}"
142091,2013097,1150010300,11500001,서울특별시 강서구1,서울특별시 강서구 화곡동(신정초교앞사거리 부근),5,5,0,1,4,0,126.8546391,37.53161252,"{""type"":""Polygon"",""coordinates"":[[[126.8562391,37.5328867],[126.8558962,37.5331108],[126.855505,37.5332773],[126.8550805,37.5333799],[126.8546391,37.5334145],[126.8541976,37.5333799],[126.8537731,37.5332773],[126.8533819,37.5331108],[126.853039,37.5328867],[126.8527576,37.5326136],[126.8525485,37.5323021],[126.8524198,37.531964],[126.8523763,37.5316125],[126.8524198,37.5312609],[126.8525486,37.5309229],[126.8527577,37.5306114],[126.8530391,37.5303383],[126.853382,37.5301142],[126.8537732,37.5299477],[126.8541976,37.5298451],[126.8546391,37.5298105],[126.8550805,37.5298451],[126.855505,37.5299477],[126.8558961,37.5301142],[126.856239,37.5303383],[126.8565204,37.5306114],[126.8567295,37.5309229],[126.8568583,37.5312609],[126.8569018,37.5316125],[126.8568583,37.531964],[126.8567296,37.5323021],[126.8565205,37.5326136],[126.8562391,37.5328867]]]}"
144032,2013097,1153010800,11530001,서울특별시 구로구1,서울특별시 구로구 오류동(오류1동새마을금고도서관 부근),3,4,0,1,2,1,126.8423858,37.49729456,"{""type"":""Polygon"",""coordinates"":[[[126.8439851,37.4985688],[126.8436424,37.4987929],[126.8432513,37.4989594],[126.842827,37.4990619],[126.8423858,37.4990966],[126.8419445,37.4990619],[126.8415202,37.4989594],[126.8411292,37.4987929],[126.8407865,37.4985688],[126.8405052,37.4982957],[126.8402962,37.4979841],[126.8401675,37.4976461],[126.8401241,37.4972945],[126.8401675,37.496943],[126.8402963,37.4966049],[126.8405053,37.4962934],[126.8407865,37.4960203],[126.8411293,37.4957962],[126.8415203,37.4956297],[126.8419446,37.4955272],[126.8423858,37.4954925],[126.842827,37.4955272],[126.8432513,37.4956297],[126.8436423,37.4957962],[126.843985,37.4960203],[126.8442663,37.4962934],[126.8444753,37.4966049],[126.844604,37.496943],[126.8446475,37.4972945],[126.844604,37.4976461],[126.8444754,37.4979841],[126.8442664,37.4982957],[126.8439851,37.4985688]]]}"
142092,2013097,1153010800,11530002,서울특별시 구로구2,서울특별시 구로구 오류동(오남중학교 부근),3,3,0,3,0,0,126.8378258,37.48796841,"{""type"":""Polygon"",""coordinates"":[[[126.8394249,37.4892426],[126.8390822,37.4894667],[126.8386912,37.4896333],[126.838267,37.4897358],[126.8378258,37.4897704],[126.8373846,37.4897358],[126.8369604,37.4896333],[126.8365694,37.4894667],[126.8362267,37.4892426],[126.8359455,37.4889695],[126.8357365,37.488658],[126.8356078,37.4883199],[126.8355644,37.4879684],[126.8356078,37.4876168],[126.8357365,37.4872788],[126.8359455,37.4869672],[126.8362267,37.4866942],[126.8365694,37.4864701],[126.8369604,37.4863036],[126.8373846,37.486201],[126.8378258,37.4861664],[126.838267,37.486201],[126.8386912,37.4863036],[126.8390822,37.4864701],[126.8394248,37.4866942],[126.8397061,37.4869672],[126.8399151,37.4872788],[126.8400438,37.4876168],[126.8400872,37.4879684],[126.8400438,37.4883199],[126.8399151,37.488658],[126.8397061,37.4889695],[126.8394249,37.4892426]]]}"
