사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
151690,2013098,1120010700,11200001,서울특별시 성동구1,서울특별시 성동구 행당동(무학여고앞 부근),3,3,0,2,1,0,127.0326072,37.55834907,"{""type"":""Polygon"",""coordinates"":[[[127.0342078,37.5596233],[127.0338648,37.5598474],[127.0334735,37.5600139],[127.0330488,37.5601164],[127.0326072,37.5601511],[127.0321656,37.5601164],[127.031741,37.5600139],[127.0313496,37.5598474],[127.0310066,37.5596233],[127.0307251,37.5593502],[127.0305159,37.5590386],[127.0303871,37.5587006],[127.0303437,37.5583491],[127.0303872,37.5579975],[127.030516,37.5576595],[127.0307252,37.5573479],[127.0310067,37.5570749],[127.0313497,37.5568508],[127.031741,37.5566842],[127.0321656,37.5565817],[127.0326072,37.5565471],[127.0330488,37.5565817],[127.0334734,37.5566842],[127.0338648,37.5568508],[127.0342078,37.5570749],[127.0344893,37.5573479],[127.0346984,37.5576595],[127.0348273,37.5579975],[127.0348708,37.5583491],[127.0348273,37.5587006],[127.0346985,37.5590386],[127.0344893,37.5593502],[127.0342078,37.5596233]]]}"
144654,2013098,1120010400,11200002,서울특별시 성동구2,서울특별시 성동구 도선동(왕십리역_왕십리길_진입_1 부근),4,4,0,4,0,0,127.0351328,37.56157085,"{""type"":""Polygon"",""coordinates"":[[[127.0367335,37.562845],[127.0363905,37.5630691],[127.0359991,37.5632357],[127.0355744,37.5633382],[127.0351328,37.5633728],[127.0346912,37.5633382],[127.0342665,37.5632357],[127.0338752,37.5630691],[127.0335321,37.562845],[127.0332506,37.562572],[127.0330414,37.5622604],[127.0329126,37.5619224],[127.0328692,37.5615708],[127.0329127,37.5612193],[127.0330415,37.5608812],[127.0332507,37.5605697],[127.0335322,37.5602966],[127.0338752,37.5600725],[127.0342666,37.559906],[127.0346912,37.5598035],[127.0351328,37.5597689],[127.0355744,37.5598035],[127.0359991,37.559906],[127.0363904,37.5600725],[127.0367334,37.5602966],[127.0370149,37.5605697],[127.0372241,37.5608812],[127.037353,37.5612193],[127.0373965,37.5615708],[127.037353,37.5619224],[127.0372242,37.5622604],[127.037015,37.562572],[127.0367335,37.562845]]]}"
151692,2013098,1121510300,11215001,서울특별시 광진구1,서울특별시 광진구 구의동(자양사거리_구의로_진출_1 부근),4,4,1,3,0,0,127.085717,37.53750213,"{""type"":""Polygon"",""coordinates"":[[[127.0873172,37.5387763],[127.0869742,37.5390004],[127.086583,37.539167],[127.0861585,37.5392695],[127.085717,37.5393041],[127.0852755,37.5392695],[127.084851,37.539167],[127.0844598,37.5390004],[127.0841168,37.5387763],[127.0838354,37.5385033],[127.0836263,37.5381917],[127.0834975,37.5378537],[127.0834541,37.5375021],[127.0834976,37.5371506],[127.0836264,37.5368125],[127.0838355,37.536501],[127.0841169,37.5362279],[127.0844598,37.5360038],[127.084851,37.5358373],[127.0852755,37.5357348],[127.085717,37.5357001],[127.0861585,37.5357348],[127.086583,37.5358373],[127.0869742,37.5360038],[127.0873171,37.5362279],[127.0875985,37.536501],[127.0878077,37.5368125],[127.0879364,37.5371506],[127.0879799,37.5375021],[127.0879365,37.5378537],[127.0878077,37.5381917],[127.0875986,37.5385033],[127.0873172,37.5387763]]]}"
146242,2013098,1121510300,11215002,서울특별시 광진구2,서울특별시 광진구 구의동(구의사거리 부근),5,5,0,4,1,0,127.0872497,37.54550866,"{""type"":""Polygon"",""coordinates"":[[[127.08885,37.5467829],[127.0885071,37.547007],[127.0881158,37.5471735],[127.0876912,37.547276],[127.0872497,37.5473107],[127.0868082,37.547276],[127.0863836,37.5471735],[127.0859923,37.547007],[127.0856494,37.5467829],[127.0853679,37.5465098],[127.0851588,37.5461982],[127.08503,37.5458602],[127.0849865,37.5455086],[127.08503,37.5451571],[127.0851588,37.5448191],[127.085368,37.5445075],[127.0856494,37.5442344],[127.0859924,37.5440104],[127.0863836,37.5438438],[127.0868082,37.5437413],[127.0872497,37.5437067],[127.0876912,37.5437413],[127.0881158,37.5438438],[127.088507,37.5440104],[127.08885,37.5442344],[127.0891314,37.5445075],[127.0893406,37.5448191],[127.0894694,37.5451571],[127.0895129,37.5455086],[127.0894694,37.5458602],[127.0893406,37.5461982],[127.0891315,37.5465098],[127.08885,37.5467829]]]}"
151694,2013098,1123010500,11230001,서울특별시 동대문구1,서울특별시 동대문구 답십리동(답십리사거리 부근),4,5,0,1,4,0,127.057404,37.5718314,"{""type"":""Polygon"",""coordinates"":[[[127.0590049,37.5731056],[127.0586619,37.5733297],[127.0582705,37.5734962],[127.0578457,37.5735988],[127.057404,37.5736334],[127.0569624,37.5735988],[127.0565376,37.5734962],[127.0561462,37.5733297],[127.0558032,37.5731056],[127.0555216,37.5728325],[127.0553124,37.572521],[127.0551836,37.5721829],[127.0551401,37.5718314],[127.0551836,37.5714798],[127.0553124,37.5711418],[127.0555217,37.5708303],[127.0558032,37.5705572],[127.0561463,37.5703331],[127.0565377,37.5701666],[127.0569624,37.570064],[127.057404,37.5700294],[127.0578457,37.570064],[127.0582704,37.5701666],[127.0586618,37.5703331],[127.0590049,37.5705572],[127.0592864,37.5708303],[127.0594957,37.5711418],[127.0596245,37.5714798],[127.059668,37.5718314],[127.0596245,37.5721829],[127.0594957,37.572521],[127.0592865,37.5728325],[127.0590049,37.5731056]]]}"
144670,2013098,1123010300,11230002,서울특별시 동대문구2,서울특별시 동대문구 제기동(식당재료유통할인 부근),4,4,0,3,1,0,127.0399796,37.5827785,"{""type"":""Polygon"",""coordinates"":[[[127.0415807,37.5840527],[127.0412376,37.5842768],[127.0408461,37.5844433],[127.0404213,37.5845459],[127.0399796,37.5845805],[127.0395378,37.5845459],[127.039113,37.5844433],[127.0387216,37.5842768],[127.0383784,37.5840527],[127.0380968,37.5837796],[127.0378876,37.5834681],[127.0377588,37.58313],[127.0377153,37.5827785],[127.0377588,37.5824269],[127.0378876,37.5820889],[127.0380969,37.5817774],[127.0383785,37.5815043],[127.0387216,37.5812802],[127.0391131,37.5811137],[127.0395378,37.5810111],[127.0399796,37.5809765],[127.0404213,37.5810111],[127.040846,37.5811137],[127.0412375,37.5812802],[127.0415806,37.5815043],[127.0418622,37.5817774],[127.0420715,37.5820889],[127.0422003,37.5824269],[127.0422438,37.5827785],[127.0422003,37.58313],[127.0420715,37.5834681],[127.0418623,37.5837796],[127.0415807,37.5840527]]]}"
144665,2013098,1123010800,11230003,서울특별시 동대문구3,서울특별시 동대문구 회기동(회기역앞_회기로_진출_1 부근),4,5,0,3,2,0,127.054378,37.58994844,"{""type"":""Polygon"",""coordinates"":[[[127.0559793,37.5912226],[127.0556361,37.5914467],[127.0552446,37.5916133],[127.0548198,37.5917158],[127.054378,37.5917504],[127.0539362,37.5917158],[127.0535114,37.5916133],[127.0531199,37.5914467],[127.0527767,37.5912226],[127.0524951,37.5909496],[127.0522859,37.590638],[127.052157,37.5903],[127.0521135,37.5899484],[127.052157,37.5895969],[127.0522859,37.5892588],[127.0524952,37.5889473],[127.0527768,37.5886742],[127.0531199,37.5884501],[127.0535114,37.5882836],[127.0539362,37.5881811],[127.054378,37.5881465],[127.0548198,37.5881811],[127.0552446,37.5882836],[127.0556361,37.5884501],[127.0559792,37.5886742],[127.0562609,37.5889473],[127.0564701,37.5892588],[127.056599,37.5895969],[127.0566425,37.5899484],[127.056599,37.5903],[127.0564702,37.590638],[127.0562609,37.5909496],[127.0559793,37.5912226]]]}"
144662,2013098,1123010100,11230004,서울특별시 동대문구4,서울특별시 동대문구 신설동(신설동역_난정로_진입_1 부근),4,4,0,4,0,0,127.0229655,37.57507394,"{""type"":""Polygon"",""coordinates"":[[[127.0245664,37.5763481],[127.0242234,37.5765722],[127.0238319,37.5767388],[127.0234072,37.5768413],[127.0229655,37.5768759],[127.0225238,37.5768413],[127.022099,37.5767388],[127.0217076,37.5765722],[127.0213645,37.5763481],[127.021083,37.5760751],[127.0208737,37.5757635],[127.0207449,37.5754255],[127.0207014,37.5750739],[127.0207449,37.5747224],[127.0208738,37.5743843],[127.021083,37.5740728],[127.0213646,37.5737997],[127.0217077,37.5735756],[127.0220991,37.5734091],[127.0225238,37.5733066],[127.0229655,37.5732719],[127.0234072,37.5733066],[127.0238319,37.5734091],[127.0242233,37.5735756],[127.0245664,37.5737997],[127.024848,37.5740728],[127.0250572,37.5743843],[127.025186,37.5747224],[127.0252295,37.5750739],[127.025186,37.5754255],[127.0250572,37.5757635],[127.024848,37.5760751],[127.0245664,37.5763481]]]}"
144664,2013098,1123010300,11230005,서울특별시 동대문구5,서울특별시 동대문구 제기동(홍파초교후문 부근),4,5,0,4,1,0,127.0404515,37.58632729,"{""type"":""Polygon"",""coordinates"":[[[127.0420527,37.5876015],[127.0417095,37.5878256],[127.041318,37.5879921],[127.0408932,37.5880946],[127.0404515,37.5881293],[127.0400097,37.5880946],[127.0395849,37.5879921],[127.0391934,37.5878256],[127.0388503,37.5876015],[127.0385686,37.5873284],[127.0383594,37.5870169],[127.0382306,37.5866788],[127.0381871,37.5863273],[127.0382306,37.5859757],[127.0383594,37.5856377],[127.0385687,37.5853261],[127.0388503,37.5850531],[127.0391934,37.584829],[127.0395849,37.5846625],[127.0400097,37.5845599],[127.0404515,37.5845253],[127.0408932,37.5845599],[127.041318,37.5846625],[127.0417095,37.584829],[127.0420526,37.5850531],[127.0423342,37.5853261],[127.0425435,37.5856377],[127.0426723,37.5859757],[127.0427159,37.5863273],[127.0426724,37.5866788],[127.0425435,37.5870169],[127.0423343,37.5873284],[127.0420527,37.5876015]]]}"
144669,2013098,1123010900,11230006,서울특별시 동대문구6,서울특별시 동대문구 휘경동(위생병원앞 부근),4,5,1,3,1,0,127.0623521,37.59017101,"{""type"":""Polygon"",""coordinates"":[[[127.0639534,37.5914452],[127.0636103,37.5916693],[127.0632188,37.5918358],[127.0627939,37.5919384],[127.0623521,37.591973],[127.0619103,37.5919384],[127.0614855,37.5918358],[127.061094,37.5916693],[127.0607509,37.5914452],[127.0604692,37.5911721],[127.06026,37.5908606],[127.0601311,37.5905225],[127.0600876,37.590171],[127.0601311,37.5898194],[127.06026,37.5894814],[127.0604693,37.5891699],[127.0607509,37.5888968],[127.0610941,37.5886727],[127.0614856,37.5885062],[127.0619104,37.5884037],[127.0623521,37.588369],[127.0627939,37.5884037],[127.0632187,37.5885062],[127.0636102,37.5886727],[127.0639534,37.5888968],[127.064235,37.5891699],[127.0644443,37.5894814],[127.0645731,37.5898194],[127.0646167,37.590171],[127.0645732,37.5905225],[127.0644443,37.5908606],[127.064235,37.5911721],[127.0639534,37.5914452]]]}"
