,연도,시설번호,시설명,주소,사용여부,면적,이용가능인원수,선풍기보유대수,에어컨보유대수,야간개방,휴일개방,숙박가능여부,위도,경도,도
601,2021,8,강동농협 명일역지점,서울특별시 강동구 양재대로 1655,Y,200,30,2,2,N,N,N,37.553562,127.143875,서울특별시
602,2021,8,국민은행 고덕역지점,서울특별시 강동구 고덕로 254,Y,357,60,2,5,N,N,N,37.5546439,127.153665,서울특별시
603,2021,8,하나은행 고덕역지점,서울특별시 강동구 동남로75길 29,Y,400,30,3,2,N,N,N,37.5541561,127.1545287,서울특별시
604,2021,8,우리은행 고덕지점,"서울특별시 강동구 동남로71길 23 , 한양아파트 상가동 (명일동)",Y,33,25,2,1,N,N,N,37.5514818,127.1546771,서울특별시
605,2021,8,신한은행 명일중앙지점,서울특별시 강동구 동남로 881,Y,400,30,3,2,N,N,N,37.5522912,127.1557742,서울특별시
606,2021,8,SC제일은행명일동지점,서울특별시 강동구 동남로73길 26,Y,0,30,2,2,N,N,N,37.553298,127.154785,서울특별시
607,2021,8,농협 명일동지점,서울특별시 강동구 동남로71길 14,Y,200,30,2,2,N,N,N,37.5519077,127.1553401,서울특별시
608,2021,8,강동농협 고덕동지점,서울특별시 강동구 아리수로50길 50,Y,200,20,2,2,N,N,N,37.5576884,127.148601,서울특별시
609,2021,8,서울강동새마을금고 고덕지점,서울특별시 강동구 동남로82길 107,Y,0,30,2,2,N,N,N,37.5604591,127.1628854,서울특별시
610,2021,8,강동농협 선사지점,서울특별시 강동구 올림픽로 802 (암사동),Y,60,30,2,2,N,N,N,37.5525401,127.1286686,서울특별시
611,2021,8,강동농협 본점지점,"서울특별시 강동구 구천면로 331 , 강동농협 (암사동)",Y,258,30,2,2,N,N,N,37.5490935,127.1361722,서울특별시
612,2021,8,강동신용협동조합암사본점,서울특별시 강동구 올림픽로 796 (암사동),Y,0,30,2,2,N,N,N,37.5520753,127.1285365,서울특별시
